s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5601,1.557095287,1.666365131,1.598874933,1.674399679,1.635833851,1.560309106,1.626192394,1.507281093,1.603695661,1.553881468,1.595661114,1.60851639,1.651902946,1.505674183,1.586019657,1.610123299,1.603695661,1.5763782,1.537812373,1.560309106,1.544240011,1.619764756,1.566736743,1.626192394,1.555488377,1.629406213,1.502460364,1.645475308,1.618157847,1.513708731
5701,1.646608121,1.585037923,1.693969812,1.6039826,1.580301754,1.6039826,1.498208156,1.626084722,1.610297492,1.597667707,1.47926348,1.596088984,1.558199632,1.633978337,1.632399614,1.622927276,1.534518786,1.591352815,1.540833678,1.573986862,1.548727293,1.630820891,1.589774092,1.510837941,1.542412401,1.668710244,1.633978337,1.605561323,1.682918751,1.591352815
5801,1.584090036,1.571677969,1.573229478,1.563920428,1.622877745,1.61822322,1.661665454,1.622877745,1.540647802,1.59960512,1.467726909,1.580987019,1.624429254,1.579435511,1.61822322,1.649253387,1.591847578,1.613568695,1.635289812,1.573229478,1.556162886,1.619774728,1.534441769,1.593399086,1.616671712,1.582538528,1.615120203,1.624429254,1.520478193,1.598053611
5901,1.563346467,1.587749924,1.653334215,1.671636807,1.668586375,1.55419517,1.641132486,1.606052517,1.532842145,1.592325572,1.595376004,1.612153381,1.584699492,1.606052517,1.564871683,1.590800356,1.586224708,1.575548195,1.615203813,1.578598627,1.531316929,1.563346467,1.599951652,1.609102949,1.516064769,1.578598627,1.586224708,1.654859431,1.662485511,1.595376004
6001,1.561291835,1.597287035,1.565791235,1.615284636,1.528296234,1.609285436,1.631782436,1.625783236,1.625783236,1.550793234,1.645280637,1.514798034,1.586788435,1.597287035,1.568790835,1.618284236,1.631782436,1.577789635,1.610785236,1.598786836,1.510298634,1.582289035,1.619784036,1.646780437,1.556792435,1.553792835,1.567291035,1.586788435,1.649780037,1.567291035
6101,1.644867153,1.551928471,1.593234552,1.579957597,1.633065416,1.602085855,1.609461941,1.634540633,1.590284117,1.630114981,1.630114981,1.612412375,1.590284117,1.582908031,1.593234552,1.602085855,1.577007163,1.5888089,1.634540633,1.637491067,1.596184986,1.666995411,1.543077168,1.538651516,1.548978036,1.574056728,1.571106294,1.529800213,1.547502819,1.605036289
6201,1.645918433,1.557381374,1.5747985,1.598021335,1.545769956,1.506581422,1.560284228,1.583507063,1.587861345,1.631404161,1.612535607,1.61108418,1.635758442,1.590764199,1.628501306,1.624147025,1.525449976,1.515289985,1.535609966,1.632855588,1.632855588,1.62124417,1.583507063,1.592215627,1.580604209,1.561735656,1.60092419,1.553027092,1.629952733,1.566089937
6301,1.569803158,1.569803158,1.575516728,1.65693509,1.63836599,1.649793128,1.658363482,1.602656182,1.674075797,1.592657435,1.579801904,1.53980692,1.61408332,1.669790621,1.669790621,1.569803158,1.591229043,1.604084574,1.616940105,1.661220267,1.669790621,1.619796889,1.59551422,1.644079559,1.561232804,1.612654928,1.57694512,1.63265242,1.556947627,1.63836599
6401,1.638079909,1.574806436,1.626831292,1.522781581,1.618394829,1.626831292,1.642298141,1.549497047,1.562151742,1.580430745,1.645110295,1.508720809,1.586055054,1.614176597,1.569182128,1.580430745,1.611364443,1.564963896,1.615582675,1.53824843,1.560745665,1.581836822,1.536842353,1.663389299,1.543872739,1.564963896,1.61277052,1.564963896,1.594491517,1.532624121
6501,1.641955976,1.497973327,1.543660129,1.596269174,1.572733549,1.576886894,1.538122335,1.569964652,1.557504615,1.586578034,1.540891232,1.587962483,1.55196682,1.58104024,1.589346931,1.640571527,1.543660129,1.558889063,1.477206599,1.630880388,1.536737886,1.572733549,1.536737886,1.630880388,1.665491601,1.612882557,1.568580203,1.477206599,1.63780263,1.623958145
6601,1.690709286,1.567996516,1.602083396,1.555725239,1.625262475,1.56117914,1.625262475,1.615718149,1.612991198,1.558452189,1.622535525,1.516184457,1.636170277,1.509367081,1.617081624,1.65525893,1.542090486,1.62117205,1.679801485,1.64980503,1.574813892,1.607537297,1.59526602,1.619808574,1.62117205,1.636170277,1.580267793,1.668893683,1.565269565,1.56390609
6701,1.520420773,1.521763901,1.633243516,1.572802761,1.580861528,1.595635935,1.544597075,1.669507969,1.539224563,1.591606551,1.588920295,1.622498493,1.621155365,1.58623404,1.582204656,1.601008447,1.648017923,1.570116505,1.591606551,1.549969587,1.578175272,1.635929772,1.524450157,1.606380958,1.574145889,1.664135457,1.562057738,1.564743993,1.678909864,1.648017923
6801,1.562910498,1.688631495,1.56158712,1.633049581,1.54835333,1.607905382,1.64628337,1.4874779,1.603935245,1.675397706,1.621139171,1.58540794,1.635696339,1.566880635,1.544383194,1.594671592,1.515268858,1.566880635,1.539089678,1.637019718,1.637019718,1.605258624,1.618492413,1.60922876,1.680691222,1.541736436,1.539089678,1.578791045,1.547029951,1.639666476
6901,1.52069987,1.613298232,1.554609129,1.550696522,1.597647805,1.614602434,1.516787263,1.636773873,1.568955354,1.598952007,1.527220881,1.584605782,1.565042747,1.540262904,1.625036053,1.557217534,1.495920026,1.561130141,1.596343602,1.587214186,1.584605782,1.572867961,1.583301579,1.669378931,1.57808477,1.597647805,1.626340255,1.62894866,1.613298232,1.617210839
7001,1.596682274,1.53626032,1.578684245,1.53626032,1.56582851,1.622393744,1.594111127,1.513119997,1.563257363,1.609538009,1.556829496,1.569685231,1.574827525,1.582540966,1.636535052,1.594111127,1.628821611,1.590254407,1.648105214,1.541402614,1.581255392,1.667388816,1.582540966,1.596682274,1.640391773,1.596682274,1.666103242,1.608252435,1.623679317,1.612109156
7101,1.623628264,1.59067406,1.602081284,1.577999366,1.57039455,1.552649979,1.69080414,1.612221039,1.614755978,1.564057203,1.585604183,1.595743937,1.643907774,1.561522264,1.586871652,1.632500549,1.561522264,1.485474102,1.576731897,1.565324673,1.553917448,1.640105365,1.664187283,1.597011407,1.564057203,1.564057203,1.638837896,1.560254795,1.648977651,1.618558386
7201,1.588582322,1.533588127,1.602330871,1.604830607,1.503591293,1.612329815,1.623578628,1.631077836,1.488592876,1.617329288,1.561085224,1.548586544,1.617329288,1.612329815,1.598581266,1.568584433,1.669823747,1.59608153,1.611079947,1.65482533,1.678572823,1.602330871,1.621078892,1.55733562,1.597331398,1.534837995,1.588582322,1.584832718,1.638577045,1.578583377
7301,1.628461348,1.55572916,1.596409875,1.628461348,1.584082386,1.57915139,1.586547884,1.611202863,1.550798165,1.646952582,1.593944377,1.611202863,1.601340871,1.566823901,1.609970114,1.571754897,1.607504616,1.592711629,1.605039118,1.561892905,1.619832105,1.609970114,1.54463442,1.570522148,1.623530352,1.499022709,1.577918641,1.590246131,1.590246131,1.552030914
7401,1.551733928,1.576055776,1.583352331,1.653885691,1.635644305,1.606458087,1.595513255,1.567543129,1.608890272,1.56267876,1.565110944,1.625915565,1.601593717,1.52254771,1.5882167,1.56267876,1.582136238,1.664830523,1.602809809,1.601593717,1.596729347,1.624699473,1.521331617,1.601593717,1.55781439,1.590648885,1.528628172,1.59794544,1.574839684,1.543221281
7501,1.556244381,1.571842821,1.571842821,1.53344666,1.609039101,1.573042701,1.52384762,1.631836822,1.53464654,1.53344666,1.577842221,1.607839221,1.51784822,1.630636942,1.610238981,1.576642341,1.605439461,1.559844021,1.598240181,1.564643541,1.635436462,1.642635742,1.576642341,1.540645941,1.643835622,1.545445461,1.594640541,1.579042101,1.5250475,1.558644141
