s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2101,1.606431461,1.477916944,1.726378344,1.542174203,1.614999096,1.576444741,1.559309472,1.666404902,1.67068872,1.59358001,1.495052213,1.482200762,1.550741837,1.722094526,1.597863827,1.572160923,1.559309472,1.782067968,1.525038934,1.597863827,1.610715278,1.529322751,1.439362589,1.525038934,1.653553451,1.627850547,1.713526892,1.74779743,1.649269634,1.486484579
2201,1.521177465,1.590693639,1.684744934,1.746082735,1.566158519,1.631585507,1.635674693,1.647942254,1.586604453,1.664299,1.733815175,1.701101681,1.508909905,1.492553158,1.529355838,1.549801772,1.635674693,1.41485861,1.782885416,1.635674693,1.574336892,1.602961199,1.594782826,1.566158519,1.562069332,1.521177465,1.62749632,1.533445025,1.611139573,1.574336892
2301,1.521563103,1.615438462,1.6975794,1.439422164,1.603704042,1.588058149,1.498094263,1.654553194,1.603704042,1.627172881,1.619349935,1.591969622,1.556766362,1.478536897,1.658464668,1.564589309,1.591969622,1.525474576,1.654553194,1.631084355,1.49418279,1.458979531,1.674110561,1.736694133,1.580235202,1.564589309,1.627172881,1.666287614,1.48244837,1.576323729
2401,1.615630696,1.649367763,1.698099084,1.585642191,1.529413744,1.660613453,1.626876385,1.54815656,1.641870637,1.559402249,1.544407997,1.668110579,1.619379259,1.608133569,1.593139317,1.499425239,1.641870637,1.698099084,1.495676676,1.499425239,1.630624948,1.668110579,1.59688788,1.641870637,1.604385006,1.600636443,1.559402249,1.604385006,1.424453978,1.53691087
2501,1.554629988,1.551031307,1.529439224,1.684182487,1.536636585,1.572623391,1.561827349,1.601412835,1.655393043,1.533037905,1.533037905,1.658991723,1.712971931,1.640998321,1.561827349,1.536636585,1.529439224,1.561827349,1.608610196,1.63739964,1.576222071,1.533037905,1.684182487,1.63739964,1.572623391,1.608610196,1.558228669,1.651794362,1.56902471,1.612208876
2601,1.560605652,1.647113725,1.75784406,1.64019308,1.577907266,1.581367589,1.615970819,1.726701153,1.705939216,1.688637601,1.474097578,1.674796309,1.609050173,1.619431142,1.415272088,1.737082122,1.629812111,1.588288235,1.581367589,1.591748558,1.501780161,1.48793887,1.54676436,1.678256632,1.481018224,1.595208881,1.515621453,1.574446943,1.615970819,1.577907266
2701,1.576135468,1.659440726,1.612789782,1.496162421,1.669437357,1.646111884,1.566138837,1.662772936,1.71275609,1.556142207,1.639447464,1.552809996,1.512823473,1.586132099,1.59946094,1.582799889,1.489498001,1.629450833,1.719420511,1.649444095,1.609457571,1.669437357,1.59946094,1.572803258,1.569471048,1.569471048,1.456175898,1.576135468,1.526152314,1.696095039
2801,1.54878422,1.622688861,1.545570975,1.596982899,1.658034559,1.458813352,1.580916673,1.55521071,1.532717994,1.564850446,1.436320635,1.580916673,1.503798786,1.500585541,1.66446105,1.632328597,1.490945805,1.661247804,1.561637201,1.54878422,1.497372296,1.539144484,1.590556408,1.535931239,1.709446483,1.523078258,1.596982899,1.641968333,1.593769654,1.593769654
2901,1.731184902,1.529523578,1.700160083,1.59777818,1.588470734,1.622598035,1.613290589,1.548138469,1.569855843,1.669135264,1.666032782,1.641212927,1.613290589,1.616393071,1.591573216,1.58226577,1.625700517,1.619495553,1.585368252,1.514011169,1.572958325,1.588470734,1.548138469,1.566753361,1.600880662,1.64741789,1.628802999,1.579163289,1.53262606,1.690852637
3001,1.616515062,1.640507864,1.559532156,1.571528557,1.553533955,1.634509663,1.580525858,1.562531256,1.559532156,1.562531256,1.634509663,1.535539354,1.544536654,1.59552136,1.622513262,1.643506964,1.574527657,1.523542952,1.634509663,1.553533955,1.574527657,1.511546551,1.658502466,1.622513262,1.607517761,1.616515062,1.60451866,1.511546551,1.535539354,1.553533955
3101,1.497631345,1.648555434,1.59631248,1.526655208,1.497631345,1.581800548,1.65145782,1.712407933,1.628238729,1.56438623,1.622433957,1.517948049,1.663067365,1.555679071,1.602117252,1.491826572,1.538264753,1.549874299,1.544069526,1.59631248,1.494728958,1.526655208,1.628238729,1.593410094,1.523752822,1.61953157,1.570191003,1.59631248,1.529557594,1.59631248
