s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2100,1.534336857,1.534336857,1.594338857,1.564337857,1.650055,1.598624714,1.474334857,1.637197429,1.650055,1.530051,1.577195429,1.530051,1.564337857,1.598624714,1.594338857,1.542908571,1.620054,1.551480286,1.637197429,1.572909571,1.560052,1.542908571,1.530051,1.577195429,1.491478286,1.491478286,1.551480286,1.675770143,1.620054,1.547194429,1.512907571,1.585767143,1.508621714,1.568623714,1.517193429,1.487192429,1.637197429,1.577195429,1.620054,1.568623714,1.632911571,1.521479286,1.607196429,1.577195429,1.671484286,1.607196429,1.650055,1.517193429,1.547194429,1.452905571
2200,1.530051,1.570961455,1.558688318,1.538233091,1.538233091,1.583234591,1.595507727,1.587325636,1.591416682,1.624145045,1.660964455,1.554597273,1.570961455,1.595507727,1.599598773,1.570961455,1.628236091,1.554597273,1.705965955,1.673237591,1.640509227,1.591416682,1.534142045,1.632327136,1.542324136,1.534142045,1.656873409,1.554597273,1.562779364,1.611871909,1.505504727,1.562779364,1.611871909,1.615962955,1.591416682,1.546415182,1.5750525,1.5750525,1.652782364,1.636418182,1.538233091,1.550506227,1.628236091,1.538233091,1.480958455,1.632327136,1.525959955,1.546415182,1.624145045,1.591416682
2300,1.506571957,1.584835435,1.588748609,1.565269565,1.537877348,1.541790522,1.608314478,1.545703696,1.721796522,1.541790522,1.573095913,1.643533043,1.620054,1.577009087,1.663098913,1.678751609,1.608314478,1.686577957,1.60048813,1.620054,1.569182739,1.620054,1.596574957,1.725709696,1.612227652,1.557443217,1.596574957,1.502658783,1.60048813,1.623967174,1.526137826,1.631793522,1.545703696,1.623967174,1.561356391,1.584835435,1.63961987,1.604401304,1.616140826,1.541790522,1.647446217,1.537877348,1.573095913,1.631793522,1.45961387,1.670925261,1.604401304,1.651359391,1.663098913,1.596574957
2400,1.616303875,1.62755425,1.548801625,1.6650555,1.668805625,1.680056,1.638804625,1.578802625,1.68755625,1.58255275,1.578802625,1.55255175,1.593803125,1.616303875,1.6350545,1.740058,1.601303375,1.541301375,1.586302875,1.631304375,1.586302875,1.676305875,1.50755025,1.548801625,1.6650555,1.6050535,1.560052,1.560052,1.616303875,1.661305375,1.6650555,1.601303375,1.59755325,1.53755125,1.55255175,1.571302375,1.616303875,1.563802125,1.740058,1.586302875,1.55255175,1.608803625,1.616303875,1.53755125,1.563802125,1.698806625,1.55255175,1.55255175,1.6650555,1.533801125
2500,1.5840528,1.55165172,1.55165172,1.60925364,1.58765292,1.5840528,1.5840528,1.59485316,1.64525484,1.55165172,1.61645388,1.53365112,1.62365412,1.56965232,1.6020534,1.65245508,1.5480516,1.6380546,1.62725424,1.54445148,1.63445448,1.63085436,1.50845028,1.620054,1.64165472,1.63085436,1.58765292,1.54085136,1.5120504,1.52285076,1.59845328,1.59845328,1.56245208,1.5120504,1.6380546,1.67045568,1.6380546,1.620054,1.55165172,1.53365112,1.48324944,1.59125304,1.55165172,1.5840528,1.56965232,1.59125304,1.54085136,1.5840528,1.4940498,1.64525484
2600,1.554282577,1.554282577,1.536974308,1.606207385,1.5750525,1.526589346,1.571590846,1.533512654,1.568129192,1.571590846,1.706595346,1.561205885,1.658132192,1.727365269,1.495434462,1.606207385,1.609669038,1.557744231,1.609669038,1.571590846,1.675440462,1.478126192,1.661593846,1.592360769,1.578514154,1.613130692,1.602745731,1.585437462,1.536974308,1.606207385,1.644285577,1.592360769,1.568129192,1.609669038,1.661593846,1.606207385,1.540435962,1.602745731,1.595822423,1.730826923,1.547359269,1.623515654,1.557744231,1.571590846,1.519666038,1.578514154,1.564667538,1.543897615,1.599284077,1.536974308
2700,1.613387111,1.563385444,1.573385778,1.556718556,1.610053667,1.596719889,1.593386444,1.603386778,1.520050667,1.590053,1.596719889,1.633387778,1.540051333,1.616720556,1.520050667,1.580052667,1.606720222,1.596719889,1.690056333,1.603386778,1.583386111,1.493383111,1.586719556,1.610053667,1.636721222,1.566718889,1.656721889,1.590053,1.633387778,1.593386444,1.596719889,1.606720222,1.583386111,1.630054333,1.570052333,1.616720556,1.556718556,1.580052667,1.553385111,1.666722222,1.596719889,1.580052667,1.583386111,1.603386778,1.603386778,1.580052667,1.496716556,1.630054333,1.556718556,1.546718222
2800,1.584695679,1.504335857,1.533265393,1.594338857,1.64255475,1.607196429,1.636125964,1.632911571,1.623268393,1.620054,1.591124464,1.652197929,1.594338857,1.613625214,1.55255175,1.587910071,1.591124464,1.636125964,1.64255475,1.542908571,1.626482786,1.55255175,1.558980536,1.607196429,1.610410821,1.616839607,1.610410821,1.613625214,1.571838107,1.558980536,1.549337357,1.607196429,1.549337357,1.558980536,1.549337357,1.626482786,1.607196429,1.513979036,1.59755325,1.629697179,1.581481286,1.600767643,1.584695679,1.558980536,1.587910071,1.568623714,1.655412321,1.629697179,1.571838107,1.584695679
2900,1.551775862,1.620054,1.542465207,1.579707828,1.598329138,1.610743345,1.576604276,1.455565759,1.607639793,1.551775862,1.567293621,1.573500724,1.60143269,1.582811379,1.610743345,1.539361655,1.60143269,1.576604276,1.657296621,1.598329138,1.589018483,1.595225586,1.585914931,1.613846897,1.629364655,1.620054,1.598329138,1.585914931,1.616950448,1.620054,1.533154552,1.573500724,1.604536241,1.675917931,1.561086517,1.573500724,1.551775862,1.60143269,1.623157552,1.551775862,1.635571759,1.517636793,1.620054,1.660400172,1.598329138,1.635571759,1.533154552,1.623157552,1.616950448,1.60143269
3000,1.5720524,1.5960532,1.6140538,1.6050535,1.6830561,1.5570519,1.590053,1.6290543,1.5540518,1.6140538,1.5840528,1.5780526,1.6020534,1.530051,1.5540518,1.5870529,1.5780526,1.5960532,1.5990533,1.5630521,1.6650555,1.6140538,1.590053,1.5930531,1.6350545,1.5540518,1.6380546,1.6380546,1.590053,1.5510517,1.5660522,1.5060502,1.590053,1.5660522,1.5990533,1.5360512,1.5840528,1.5660522,1.5240508,1.5990533,1.6080536,1.5690523,1.5510517,1.5270509,1.6860562,1.6140538,1.5330511,1.5420514,1.6050535,1.5630521
3100,1.570697516,1.527147677,1.625860645,1.591020774,1.625860645,1.431338032,1.582310806,1.625860645,1.622957323,1.559084226,1.532954323,1.60844071,1.60844071,1.521341032,1.564890871,1.576504161,1.567794194,1.564890871,1.622957323,1.692637065,1.561987548,1.675217129,1.640377258,1.599730742,1.602634065,1.605537387,1.538760968,1.573600839,1.550374258,1.620054,1.602634065,1.585214129,1.617150677,1.614247355,1.588117452,1.553277581,1.582310806,1.588117452,1.602634065,1.559084226,1.605537387,1.524244355,1.640377258,1.625860645,1.495211129,1.567794194,1.617150677,1.564890871,1.620054,1.599730742
3200,1.583490281,1.603178437,1.650992531,1.535676187,1.645367344,1.560989531,1.555364344,1.586302875,1.628491781,1.544113969,1.611616219,1.580677688,1.617241406,1.605991031,1.729745156,1.569427312,1.555364344,1.55255175,1.608803625,1.572239906,1.59755325,1.55255175,1.600365844,1.614428813,1.487862094,1.594740656,1.566614719,1.496299875,1.541301375,1.555364344,1.603178437,1.586302875,1.611616219,1.594740656,1.628491781,1.600365844,1.608803625,1.566614719,1.622866594,1.572239906,1.591928062,1.499112469,1.572239906,1.532863594,1.538488781,1.546926563,1.639742156,1.620054,1.608803625,1.636929562
3300,1.603689818,1.543687818,1.644600273,1.527323636,1.557324636,1.606417182,1.568234091,1.570961455,1.560052,1.617326636,1.696420182,1.650055,1.573688818,1.590053,1.598235091,1.639145545,1.560052,1.680056,1.600962455,1.557324636,1.647327636,1.516414182,1.587325636,1.576416182,1.590053,1.620054,1.625508727,1.549142545,1.606417182,1.592780364,1.581870909,1.614599273,1.560052,1.557324636,1.644600273,1.543687818,1.620054,1.590053,1.620054,1.600962455,1.543687818,1.606417182,1.600962455,1.592780364,1.579143545,1.677328636,1.546415182,1.603689818,1.568234091,1.590053
3400,1.612112559,1.540639588,1.604171118,1.543286735,1.556522471,1.593582529,1.627995441,1.630642588,1.582993941,1.606818265,1.572405353,1.612112559,1.630642588,1.627995441,1.630642588,1.596229676,1.572405353,1.564463912,1.609465412,1.606818265,1.612112559,1.680938382,1.617406853,1.651819765,1.654466912,1.590935382,1.630642588,1.601523971,1.564463912,1.622701147,1.678291235,1.535345294,1.649172618,1.516815265,1.553875324,1.614759706,1.543286735,1.590935382,1.627995441,1.604171118,1.590935382,1.527403853,1.4850495,1.606818265,1.561816765,1.596229676,1.5750525,1.717998441,1.569758206,1.633289735
3500,1.632911571,1.6020534,1.576338257,1.589195829,1.681770343,1.535194029,1.581481286,1.5480516,1.5660522,1.542908571,1.578909771,1.553194629,1.612339457,1.568623714,1.553194629,1.532622514,1.532622514,1.671484286,1.5660522,1.596910371,1.545480086,1.6020534,1.604624914,1.594338857,1.563480686,1.607196429,1.622625514,1.568623714,1.591767343,1.532622514,1.553194629,1.596910371,1.558337657,1.576338257,1.576338257,1.578909771,1.614910971,1.5660522,1.627768543,1.6380546,1.612339457,1.558337657,1.622625514,1.5480516,1.599481886,1.550623114,1.524907971,1.522336457,1.522336457,1.5480516
3600,1.547551583,1.55255175,1.637554583,1.590053,1.640054667,1.6050535,1.595053167,1.610053667,1.572552417,1.535051167,1.555051833,1.540051333,1.592553083,1.592553083,1.622554083,1.572552417,1.592553083,1.555051833,1.585052833,1.637554583,1.570052333,1.62755425,1.570052333,1.595053167,1.562552083,1.6050535,1.562552083,1.587552917,1.62755425,1.600053333,1.610053667,1.61255375,1.555051833,1.532551083,1.595053167,1.607553583,1.58255275,1.580052667,1.570052333,1.565052167,1.62755425,1.572552417,1.607553583,1.540051333,1.530051,1.632554417,1.630054333,1.540051333,1.547551583,1.56755225
3700,1.632216568,1.639514108,1.551943622,1.600593892,1.556808649,1.566538703,1.600593892,1.620054,1.57140373,1.622486514,1.641946622,1.549511108,1.634649081,1.561673676,1.585998811,1.598161378,1.615188973,1.585998811,1.598161378,1.537348541,1.590863838,1.634649081,1.568971216,1.615188973,1.607891432,1.559241162,1.559241162,1.593296351,1.566538703,1.534916027,1.615188973,1.627351541,1.559241162,1.576268757,1.581133784,1.607891432,1.583566297,1.583566297,1.634649081,1.598161378,1.573836243,1.564106189,1.581133784,1.556808649,1.568971216,1.573836243,1.627351541,1.620054,1.583566297,1.624919027
3800,1.591632,1.624791,1.6271595,1.6224225,1.539525,1.591632,1.558473,1.582158,1.5845265,1.5513675,1.629528,1.634265,1.6082115,1.4803125,1.577421,1.572684,1.5797895,1.5703155,1.6271595,1.567947,1.582158,1.6224225,1.5655785,1.605843,1.596369,1.5655785,1.6461075,1.5892635,1.5418935,1.6271595,1.601106,1.5703155,1.5797895,1.5608415,1.6413705,1.567947,1.5892635,1.586895,1.605843,1.6082115,1.6555815,1.5039975,1.6129485,1.634265,1.6082115,1.6508445,1.5750525,1.596369,1.5987375,1.6508445
3900,1.564667538,1.661593846,1.576206385,1.578514154,1.553128692,1.571590846,1.585437462,1.587745231,1.601591846,1.622361769,1.601591846,1.585437462,1.654670538,1.566975308,1.624669538,1.596976308,1.624669538,1.610822923,1.569283077,1.518512154,1.610822923,1.663901615,1.590053,1.599284077,1.606207385,1.629285077,1.583129692,1.543897615,1.539282077,1.580821923,1.518512154,1.624669538,1.643131692,1.590053,1.631592846,1.652362769,1.550820923,1.580821923,1.553128692,1.626977308,1.585437462,1.580821923,1.624669538,1.617746231,1.539282077,1.587745231,1.573898615,1.608515154,1.590053,1.576206385
4000,1.590803025,1.5930531,1.52555085,1.620054,1.5660522,1.6110537,1.5840528,1.586302875,1.55255175,1.6110537,1.590803025,1.5750525,1.550301675,1.568302275,1.604303475,1.56155205,1.541301375,1.554801825,1.572802425,1.60655355,1.61555385,1.622304075,1.631304375,1.59755325,1.617803925,1.577302575,1.63355445,1.608803625,1.5930531,1.5660522,1.631304375,1.568302275,1.5750525,1.608803625,1.572802425,1.581802725,1.5750525,1.568302275,1.5840528,1.53455115,1.599803325,1.577302575,1.620054,1.536801225,1.608803625,1.554801825,1.559301975,1.5930531,1.626804225,1.613303775
4100,1.606882829,1.567369317,1.554198146,1.580540488,1.659567512,1.62444439,1.552002951,1.571759707,1.556393341,1.602492439,1.573954902,1.530051,1.587126073,1.552002951,1.558588537,1.576150098,1.554198146,1.626639585,1.648591537,1.600297244,1.556393341,1.562978927,1.639810756,1.571759707,1.584930878,1.62883478,1.587126073,1.62444439,1.639810756,1.633225171,1.547612561,1.587126073,1.587126073,1.602492439,1.589321268,1.613468415,1.584930878,1.569564512,1.584930878,1.631029976,1.670543488,1.547612561,1.584930878,1.648591537,1.569564512,1.648591537,1.567369317,1.576150098,1.635420366,1.576150098
4200,1.622196929,1.5750525,1.564337857,1.596481786,1.5450515,1.645769143,1.624339857,1.553623214,1.568623714,1.557909071,1.572909571,1.549337357,1.467906071,1.5750525,1.549337357,1.632911571,1.637197429,1.645769143,1.620054,1.536479786,1.628625714,1.5750525,1.562194929,1.585767143,1.598624714,1.566480786,1.583624214,1.647912071,1.568623714,1.596481786,1.585767143,1.607196429,1.607196429,1.626482786,1.506478786,1.564337857,1.658626714,1.587910071,1.542908571,1.6050535,1.602910571,1.6050535,1.585767143,1.615768143,1.583624214,1.530051,1.549337357,1.609339357,1.592195929,1.626482786
4300,1.563540488,1.57819214,1.574005953,1.55098193,1.622147093,1.574005953,1.548888837,1.57819214,1.592843791,1.592843791,1.563540488,1.55098193,1.559354302,1.615867814,1.546795744,1.588657605,1.586564512,1.636798744,1.565633581,1.613774721,1.601216163,1.59912307,1.634705651,1.638891837,1.651450395,1.651450395,1.659822767,1.588657605,1.582378326,1.574005953,1.601216163,1.609588535,1.569819767,1.582378326,1.597029977,1.563540488,1.624240186,1.628426372,1.574005953,1.613774721,1.561447395,1.515399349,1.607495442,1.542609558,1.555168116,1.561447395,1.611681628,1.504933884,1.59912307,1.620054
4400,1.615962955,1.618008477,1.55255175,1.593462205,1.581189068,1.570961455,1.579143545,1.630281614,1.573006977,1.705965955,1.540278614,1.630281614,1.560733841,1.59755325,1.579143545,1.583234591,1.568915932,1.570961455,1.622099523,1.593462205,1.640509227,1.628236091,1.554597273,1.601644295,1.601644295,1.640509227,1.601644295,1.644600273,1.605735341,1.593462205,1.593462205,1.573006977,1.632327136,1.644600273,1.550506227,1.626190568,1.671192068,1.546415182,1.536187568,1.615962955,1.564824886,1.589371159,1.556642795,1.663009977,1.654827886,1.634372659,1.554597273,1.622099523,1.601644295,1.554597273
4500,1.5420514,1.6380546,1.574052467,1.6380546,1.50005,1.558051933,1.5720524,1.5720524,1.528050933,1.576052533,1.636054533,1.562052067,1.550051667,1.622054067,1.580052667,1.576052533,1.560052,1.616053867,1.582052733,1.642054733,1.574052467,1.590053,1.580052667,1.592053067,1.6140538,1.586052867,1.640054667,1.556051867,1.546051533,1.588052933,1.5720524,1.552051733,1.590053,1.562052067,1.622054067,1.580052667,1.5420514,1.576052533,1.6020534,1.532051067,1.5960532,1.616053867,1.646054867,1.556051867,1.636054533,1.618053933,1.616053867,1.6320544,1.592053067,1.6560552
4600,1.655272565,1.539833935,1.618097413,1.577009087,1.649402804,1.588748609,1.592661783,1.582878848,1.596574957,1.543747109,1.54961687,1.592661783,1.637663283,1.629836935,1.629836935,1.545703696,1.590705196,1.586792022,1.557443217,1.622010587,1.557443217,1.5750525,1.573095913,1.563312978,1.577009087,1.577009087,1.610271065,1.612227652,1.54961687,1.622010587,1.569182739,1.557443217,1.59461837,1.59461837,1.571139326,1.5750525,1.573095913,1.565269565,1.623967174,1.565269565,1.539833935,1.629836935,1.618097413,1.578965674,1.559399804,1.588748609,1.655272565,1.559399804,1.606357891,1.520268065
